"league_id","pixel_prod_num","center_number","name","start_date","end_date","lineage_cost","centaman_league_number","day_of_week","cover","gl_account"
"3BA5EC04-D0EC-43F8-AC32-77EF07EF86CB","","535","7615-U.B.A. Tournament","10/20/2018 0:00","11/25/2018 0:00","11.25","9997615","8","3","4140"
"3BD42E0E-BDA4-46C1-B19C-BE3C09C5371C","","884","5303-City Of Coconut Creek","08/08/2018 0:00","12/19/2018 0:00","10","5303","3","3","4115"
"3D9FA4B5-6157-4C85-8E35-FB493855E74F","","203","5300-Cortez Deep Sea Fishing W","08/22/2018 0:00","04/17/2019 0:00","11.5","5300","3","3","4115"
"3DFB3D54-139A-4492-BA6D-38EEEFA601C5","","530","5300-Stromie's Memorial/Columb","08/15/2018 0:00","05/01/2019 0:00","12.5","5300","3","3","4115"
"3EC00CA4-A35C-4A9E-B378-33905BCF5B92","","248","9301-Gr8er Times Bowling Club ","10/31/2018 0:00","02/06/2019 0:00","10","9301","3","3","4115"
"3F3C513B-B8BD-4631-9FD7-94E932B72288","","573","9103-High 5 Jersey League","10/29/2018 0:00","01/28/2019 0:00","15","9103","1","3","4115"
"3F9A84B9-ACE1-45CF-A6FC-D1513ABCF749","","564","7724-JUNIOR HALL OF FAME","10/28/2018 0:00","12/02/2018 0:00","2","9997724","8","1","4140"
"411B2F8F-AB11-4178-894F-BA04025268DA","","349","5300-Early Risers Fall 2018","08/22/2018 0:00","05/22/2019 0:00","9.25","5300","3","3","4130"
"428063D0-4F2E-42F7-8153-5D239F21B4D9","","883","5700-SUNDAY 10X3","07/29/2018 0:00","04/21/2019 0:00","10","5700","7","3","4115"
"428EB9D3-75EA-4E23-B262-9E9BD9347D8D","","77","7704-ToughShots Tour","10/28/2018 0:00","12/02/2018 0:00","2","9997704","8","3","4140"
"4293F152-EB9E-4AA2-A117-A3CF768376F9","","833","7152-Break the Bank","04/24/2017 0:00","11/14/2018 0:00","1","9997152","8","1","4140"
"42964613-205A-48E0-B161-563362A8E673","","207","5305-Wednesday Night Mixed","08/15/2018 0:00","04/24/2019 0:00","12.75","5305","3","3","4115"
